date,cases_active,cases_adolescent,cases_adult,cases_elderly
2022-12-08,21479,86,1184,256
2022-12-09,20474,88,1195,232
2022-12-10,19183,45,999,194
2022-12-11,18727,28,614,174
2022-12-12,17978,22,575,169
2022-12-13,17553,31,782,171
2022-12-14,17221,21,955,201
2022-12-15,16817,15,906,193
2022-12-16,16527,27,871,193
2022-12-17,16055,13,770,153
2022-12-18,15742,23,624,152
2022-12-19,15547,15,516,159
2022-12-20,15417,23,650,109
2022-12-21,14860,19,779,141
2022-12-22,14601,16,674,126
2022-12-23,14393,12,722,123
2022-12-24,14132,6,602,132
2022-12-25,14004,11,456,113
2022-12-26,13825,11,345,106
2022-12-27,13408,5,286,104
2022-12-28,12927,9,331,112
2022-12-29,12677,4,524,113
2022-12-30,12329,12,442,103
2022-12-31,12008,16,364,106
2023-01-01,11877,12,305,81
2023-01-02,11813,6,257,73
2023-01-03,11769,15,226,66
2023-01-04,11702,18,321,61
2023-01-05,11570,16,407,117
2023-01-06,10631,16,408,85
2023-01-07,10647,19,441,74
2023-01-08,10610,16,291,69
2023-01-09,10630,17,274,64
2023-01-10,10628,10,282,63
2023-01-11,10588,14,236,74
2023-01-12,10342,13,274,66
2023-01-13,10153,21,223,56
2023-01-14,9850,12,207,44
2023-01-15,9693,7,174,41
2023-01-16,9547,6,168,42
